,Price,Space,Rooms,Market,Year,elevator,Parking place,balkon,taras,ogródek,district,street,level,max_level
9842,640080,55,3,pierwotny,2024,1,1,1,1,1, Bemowo, Bemowo,0,5
13133,619290,55,3,pierwotny,2024,1,1,1,1,1, Bemowo, Szeligowska,1,5
5480,639000,55,3,pierwotny,2024,1,1,1,1,1, Bemowo, Bemowo,0,5
21031,715000,55,3,pierwotny,2021,0,1,0,0,0, Wola, Juliana Konstantego Ordona,2,7
6613,722800,55,3,pierwotny,2024,1,1,0,0,0, Bemowo, Bemowo,0,6
11850,517829,55,3,pierwotny,2023,1,1,0,0,0, Wawer, Wawer,0,5
5864,680000,55,3,wtórny,1973,1,0,0,0,0, Mokotów, Górny Mokotów,2,10
15893,800000,55,3,wtórny,2022,0,1,0,0,0, Mokotów, Czerniaków,2,9
14604,495000,55,2,wtórny,2001,1,1,0,0,0, Ursus,Górna Droga,2,7
15996,585000,55,3,wtórny,1978,1,0,0,0,0, Bielany, Bielany,4,15
273,790000,55,2,wtórny,2012,1,1,0,0,0, Praga-Południe,Jugosłowiańska,8,12
3882,630000,55,3,wtórny,1968,0,0,0,0,0, Ochota,Adolfa Pawińskiego,0,3
3746,599000,55,3,wtórny,2020,0,1,0,0,0, Białołęka,Kąty Grodziskie,0,2
2654,599000,55,3,wtórny,2020,0,1,0,0,0, Białołęka,Kąty Grodziskie,0,2
4993,599000,55,3,wtórny,2020,0,1,0,0,0, Białołęka,Kąty Grodziskie,0,2
5657,599000,55,3,wtórny,2020,0,1,0,0,0, Białołęka,Kąty Grodziskie,0,2
16185,630000,55,3,wtórny,1968,0,0,0,0,0, Ochota,Adolfa Pawińskiego,0,3
14793,699000,55,2,wtórny,2012,1,1,0,0,0, Białołęka, Oczary,1,2
21321,790000,55,2,wtórny,2022,0,1,0,0,0, Bemowo, Jana Olbrachta,2,4
10355,630000,55,2,wtórny,2009,1,1,0,0,0, Białołęka, Odkryta,1,4
99,1000000,55,3,wtórny,2016,1,1,0,0,0, Żoliborz, Żoliborz,2,5
7837,599000,55,2,wtórny,2011,0,1,0,0,0, Białołęka, Białołęka,2,3
17748,770000,55,3,wtórny,1937,0,0,0,0,0, Mokotów, Mokotów,1,5
5884,611000,55,3,wtórny,1976,1,0,0,0,0, Bielany, Josepha Conrada,1,8
15677,599000,55,2,wtórny,2011,0,1,0,0,0, Białołęka, Żeglugi Wiślanej,2,3
5922,755000,55,2,wtórny,2012,1,1,0,0,0, Targówek, Targówek Mieszkaniowy,2,7
16594,660000,55,3,wtórny,1976,1,1,0,0,0, Bielany,Pabla Nerudy,9,11
1815,565000,55,3,wtórny,1976,1,0,0,0,0, Targówek,Janinówka,5,12
14172,689000,55,2,wtórny,2022,1,0,0,0,0, Ursynów, Wilhelma Konrada Roentgena,3,6
2698,632000,55,3,pierwotny,2021,0,1,0,0,0, Białołęka,Sprawna,2,2
