Address,Price,Space,Rooms,Market,Year,Evelevator,Balcony,Level,Parking place
"Warszawa, Wawer, ul. Celulozy",539000,105,5,pierwotny,2023,nie,balkon,1/1,garaż/miejsce parkingowe
"Warszawa, Ursus, ul. Tadeusza Hennela",854532,75.79,3,,,,taras,7/7,garaż/miejsce parkingowe
"Warszawa, Śródmieście, ul. Okrąg",648000,37.38,2,wtórny,1967,tak,balkon,4/8,
"Warszawa, Bemowo, Dębicka",1990000,107.55,4,pierwotny,2024,monitoring / ochrona,taras,6/6,garaż/miejsce parkingowe
"Warszawa, Wola, ul. Ludwiki",,76.1,3,,,,,1/8,garaż/miejsce parkingowe
"Warszawa, Wola, Ogrodowa",829000,66.03,3,wtórny,1957,"system alarmowy, monitoring / ochrona",,3/6,
"Warszawa, Mokotów, Czerniakowska",539000,46.8,2,wtórny,1955,"piwnica, oddzielna kuchnia, pom. użytkowe",balkon,1/4,
"Warszawa, Ursus, Magnacka",609000,57.4,3,wtórny,2010,monitoring / ochrona,balkon,2/6,
"Warszawa, Mokotów, Santocka",629000,47,2,wtórny,2015,monitoring / ochrona,balkon,1/3,
"Warszawa, Targówek, Ludwika Kondratowicza",699000,49.3,2,wtórny,2016,monitoring / ochrona,balkon,1/16,garaż/miejsce parkingowe
"Warszawa, Wola, ul. Jana Kazimierza",699000,44.25,2,wtórny,2015,"telewizja kablowa, internet",balkon,2,
"Warszawa, Mokotów, Górny Mokotów",670000,50.2,2,wtórny,blok,"telewizja kablowa, internet",balkon,2/3,
"Warszawa, Rembertów, al. Aleja gen. Antoniego Chruściela ",511801,39.43,2,wtórny,2021,tak,balkon,5/5,garaż/miejsce parkingowe
"Warszawa, Białołęka, Myśliborska",779000,105.4,5,wtórny,2003,"system alarmowy, monitoring / ochrona",balkon,3/4,
"Warszawa, Praga-Południe, Ludwika Kickiego",279000,20,1,wtórny,1954,monitoring / ochrona,,parter/3,
"Warszawa, Wola, Koło, Antoniego Dobiszewskiego",385000,32,2,wtórny,1951,"piwnica, pom. użytkowe",,1/3,
"Warszawa, Ursus, Dzieci Warszawy",419000,49,3,wtórny,1965,monitoring / ochrona,,parter/4,
"Warszawa, Wola, Żytnia",2149000,135,5,wtórny,2000,meble,"balkon, taras",9/10,garaż/miejsce parkingowe
"Warszawa, Bielany, al. Aleja Władysława Reymonta",519000,54.5,3,wtórny,1974,monitoring / ochrona,balkon,1/11,
"Warszawa, Praga-Południe, Saska Kępa, Walecznych",799000,64,3,wtórny,1936,cegła,,3/3,
