,Address,Price,Space,Rooms,Market,Year,Evelevator,Balcony,Level,Parking place
95,"Warszawa, Bemowo, M. Coopera 9B",799000.0,55.0,3,wtórny,2010,tak,"balkon, taras",1/3,
96,"Warszawa, Białołęka, ul. Okrągła",,53.32,3,,,,,parter/3,garaż/miejsce parkingowe
97,"Warszawa, Targówek, ul. Baryczków",640800.0,53.4,3,,,,,5/6,garaż/miejsce parkingowe
98,"Warszawa, Mokotów, Górny Mokotów, ul. Wołoska",549000.0,48.0,2,wtórny,1960,nie,balkon,1/3,
99,"Warszawa, Żoliborz",1000000.0,55.0,3,wtórny,2016,tak,balkon,2/5,garaż/miejsce parkingowe
100,"Warszawa, Białołęka, Leona Berensona",329296.0,37.1,2,pierwotny,2022,"telewizja kablowa, internet",balkon,1/2,
101,"Warszawa, Praga-Południe, ul. Bliska",,49.17,2,,,,,5/9,garaż/miejsce parkingowe
102,"Warszawa, Ochota, ul. Uniwersytecka",625400.0,41.7,2,wtórny,2021-09-28,plastikowe,,parter/4,
103,"Warszawa, Mokotów, Nałęczowska 33",1270000.0,70.0,3,wtórny,2022,tak,balkon,9/10,garaż/miejsce parkingowe
104,"Warszawa, Białołęka, Nowodwory, Pasłęcka 14",,63.09,3,,,,"balkon, ogródek",1/3,garaż/miejsce parkingowe
105,"ul. Dionizosa, Warszawa, mazowieckie",,39.7,2,,,,balkon,2/8,garaż/miejsce parkingowe
106,"Warszawa, Bemowo, ul. Rozłogi",,54.82,3,,,,"taras, ogródek",parter/6,garaż/miejsce parkingowe
107,"Warszawa, Praga-Południe, al. Stanów Zjednoczonych",629000.0,39.0,2,wtórny,1966,tak,,8/9,
108,"Warszawa, Bielany, Stanisława Przybyszewskiego",743000.0,47.9,2,wtórny,1955,cegła,,3/3,
109,"Warszawa, Białołęka, ul. Okrągła",,44.6,2,,,,balkon,1/3,garaż/miejsce parkingowe
110,"Warszawa, Bielany, Chomiczówka, Wojciecha Bogusławskiego",650000.0,50.64,2,wtórny,1976,monitoring / ochrona,,8/12,
111,"Warszawa, Ursus, ul. Tadeusza Hennela",525352.0,48.87,2,,,,"taras, ogródek",parter/7,garaż/miejsce parkingowe
112,"Warszawa, Ursus",810000.0,60.0,3,wtórny,2019,"system alarmowy, monitoring / ochrona",,7/7,garaż/miejsce parkingowe
113,"Warszawa, Ursus, Herbu Oksza",760000.0,60.0,3,wtórny,2019,"system alarmowy, monitoring / ochrona",balkon,5/7,garaż/miejsce parkingowe
114,"Warszawa, Ursus",727000.0,74.21,4,wtórny,2022,"system alarmowy, monitoring / ochrona",balkon,3/3,garaż/miejsce parkingowe
115,"Warszawa, Mokotów, Służewiec, Obrzeżna",785900.0,54.2,2,wtórny,2016,"system alarmowy, monitoring / ochrona",balkon,6/8,garaż/miejsce parkingowe
116,"Warszawa, Wola, Mirów",2049000.0,145.0,4,wtórny,1998,monitoring / ochrona,,8/13,garaż/miejsce parkingowe
117,"Warszawa, Śródmieście, Powiśle",558000.0,36.0,2,wtórny,blok,"drzwi / okna antywłamaniowe, domofon / wideofon",balkon,2/4,
118,"Warszawa, Praga-Południe, ul. Przeworska",699000.0,48.53,3,wtórny,2018,tak,balkon,2/5,garaż/miejsce parkingowe
119,"Warszawa, Bemowo, ul. Synów Pułku",450000.0,30.0,2,wtórny,blok,domofon / wideofon,,6/10,
120,"Warszawa, Włochy, Nowe Włochy, Obywatelska",1115000.0,91.0,3,wtórny,2016,monitoring / ochrona,,3/5,garaż/miejsce parkingowe
121,"Warszawa, Praga-Północ, Nowa Praga",940000.0,93.0,4,wtórny,1978,tak,"balkon, taras",3/5,garaż/miejsce parkingowe
122,"Warszawa, Ursus, ul. Tadeusza Hennela",654900.0,67.69,3,,,,,1/7,garaż/miejsce parkingowe
123,"Warszawa, Praga-Południe, ul. Podskarbińska",,90.43,4,,,,balkon,1/4,garaż/miejsce parkingowe
124,"Warszawa, Targówek, Bródno, ul. Suwalska",598000.0,48.0,3,wtórny,blok,"piwnica, oddzielna kuchnia",balkon,3/10,garaż/miejsce parkingowe
125,"Warszawa, Wesoła, ul. Stefana Żeromskiego",,50.32,2,,,,,1/5,garaż/miejsce parkingowe
126,"Warszawa, Ursus, ul. Tadeusza Hennela",854532.0,75.79,3,,,,taras,7/7,garaż/miejsce parkingowe
127,"Warszawa, Włochy, Stare Włochy",568800.0,36.0,2,wtórny,2014,tak,balkon,5/7,
128,"Warszawa, Białołęka, Leona Berensona 12E",469999.0,46.53,2,wtórny,2012,monitoring / ochrona,balkon,1/4,garaż/miejsce parkingowe
129,"Warszawa, Targówek, ul. Baryczków",890530.0,81.7,4,,,,balkon,2/6,garaż/miejsce parkingowe
130,"Warszawa, Białołęka, Nowodwory, Pasłęcka 14",,44.95,2,,,,balkon,1/3,garaż/miejsce parkingowe
131,"ul. Herbu Oksza, Warszawa, mazowieckie",,90.54,5,,,,balkon,3/7,garaż/miejsce parkingowe
132,"Warszawa, Śródmieście, Powiśle",2450000.0,123.67,4,wtórny,1929,telewizja kablowa,balkon,5/8,
133,"Warszawa, Mokotów",850000.0,55.97,2,wtórny,2012,tak,"balkon, taras",2/4,garaż/miejsce parkingowe
134,"Warszawa, Bemowo, ul. Rozłogi",,43.85,2,,,,taras,parter/4,garaż/miejsce parkingowe
135,"Warszawa, Bemowo, ul. Wieśniacza",,92.9,4,,,,balkon,1/6,garaż/miejsce parkingowe
136,"Warszawa, Mokotów, ul. Puławska",800000.0,58.4,2,wtórny,1936,nie,,4/4,
137,"Warszawa, Bemowo, ul. Rozłogi",,60.93,3,,,,,5/8,garaż/miejsce parkingowe
138,"Warszawa, Bemowo, ul. Rozłogi",,60.93,3,,,,,6/8,garaż/miejsce parkingowe
139,"ul. Dionizosa, Warszawa, mazowieckie",,25.4,1,,,,balkon,3/8,garaż/miejsce parkingowe
140,"Warszawa, Włochy, ul. Altowa",,33.73,1,,,,"taras, ogródek",parter/6,garaż/miejsce parkingowe
141,"Warszawa, Bielany, ul. Renesansowa",1030000.0,84.5,3,wtórny,2005,tak,balkon,4/6,garaż/miejsce parkingowe
142,"Warszawa, Ursus, ul. Tadeusza Hennela",460902.0,40.43,2,,,,,parter/7,garaż/miejsce parkingowe
